age,fitness_level,goal,gender,chest,biceps,legs,thighs,shoulders,exercise,exercise_details,diet_recommendations,rest_days,target_weight_loss,target_biceps_growth,target_belly_measurement,target_chest,target_biceps,target_legs,target_thighs,target_shoulders
56,beginner,weight loss,male,86.37026904969773,35.51901729091212,65.9187167610871,59.48611259462314,106.34597261557086,Jogging,"Jogging 30 minutes, 3-4 times a week at a moderate pace.",Balanced diet with a calorie deficit. Focus on whole foods.,3,4.400791769829312,0.0,83.63951392938833,87.6176756584798,25.165371065785695,52.09049449662105,47.1257069820401,90.65100257422293
69,intermediate,weight loss,female,117.75905878733137,30.05734600656281,60.81047717877698,61.791846439143185,107.71056576823835,HIIT,"High-Intensity Interval Training (HIIT) 20-30 minutes, 4-5 times a week.",Balanced diet with a calorie deficit. Include lean proteins and vegetables.,2,7.961846737418483,0.0,79.58650029893728,82.50296807037616,22.845799086256505,47.43940990148357,44.31062890562157,91.53550243747867
46,beginner,weight loss,female,88.32727931399712,28.092150734740834,65.34342660343617,54.89671410347741,100.09378136766986,Jogging,"Jogging 30 minutes, 3-4 times a week at a moderate pace.",Balanced diet with a calorie deficit. Focus on whole foods.,3,3.4752884844156204,0.0,80.71434363421778,90.57487227526322,25.23233181177898,51.96765472994717,46.9950553957575,91.9633312120967
32,beginner,muscle gain,female,108.59080480377577,29.130959395377918,61.073460833592215,45.66969707075489,90.04672585696191,Bodyweight Exercises,"Bodyweight exercises (push-ups, squats, lunges) 3 sets of 10-15 reps, 3 times a week.",High-protein diet with a slight calorie surplus.,4,0.0,1.602024418673913,91.64974120700482,90.11758599152796,34.02945701780477,59.78723124607342,51.44633262084499,101.11985557652532
60,intermediate,general fitness,female,89.66888061292832,33.005540148289604,56.715377984235815,58.41031687421264,94.4180268550147,Swimming,"Swimming 45 minutes, 4-5 times a week.",Balanced diet with a focus on lean proteins and healthy fats.,2,3.9071042863700063,0.0,83.70275510579476,88.9114242824743,21.804380756874643,47.42031137881253,44.65119853042613,89.59552447108746
25,intermediate,general fitness,female,115.79669016577273,39.80286413521906,68.21428285316117,52.49064856840349,118.15556605709236,Swimming,"Swimming 45 minutes, 4-5 times a week.",Balanced diet with a focus on lean proteins and healthy fats.,2,3.3441905878184928,0.0,83.52399397404922,88.37113842560657,24.875894955556674,46.67449666549975,41.237254246618114,85.7770594918542
38,intermediate,weight loss,male,102.87496504307609,30.0903323307294,64.30591323714928,53.048316687257675,117.29982373502571,HIIT,"High-Intensity Interval Training (HIIT) 20-30 minutes, 4-5 times a week.",Balanced diet with a calorie deficit. Include lean proteins and vegetables.,2,9.569612570609769,0.0,76.46339935950314,80.49612795347709,24.326352364095733,47.5495471392122,44.19156602274824,90.5448195976558
56,intermediate,general fitness,male,87.88027393562916,38.97226002517441,59.68109605031343,53.825244030127614,102.90122291379484,Swimming,"Swimming 45 minutes, 4-5 times a week.",Balanced diet with a focus on lean proteins and healthy fats.,2,2.627459497529334,0.0,80.64890795860913,84.37161512770447,20.132745212967404,48.01229721421348,42.1383231835649,86.41523634141537
36,beginner,weight loss,male,106.58534394450257,34.830236408096866,62.74856952750539,54.85819271563635,108.92024910987902,Jogging,"Jogging 30 minutes, 3-4 times a week at a moderate pace.",Balanced diet with a calorie deficit. Focus on whole foods.,3,4.590703472438561,0.0,84.00455348580411,94.74800286180232,27.636792490420742,50.6477548052162,49.05353092872251,96.9578858898197
40,intermediate,general fitness,female,85.31884803587705,42.708816970215864,62.31686711737986,58.238684651318735,101.89513573521265,Swimming,"Swimming 45 minutes, 4-5 times a week.",Balanced diet with a focus on lean proteins and healthy fats.,2,3.907942495108683,0.0,82.67606498891999,83.57103915118348,24.81420060231629,47.69222290718103,40.07952838154117,89.736690126837
28,intermediate,muscle gain,male,112.16077624540856,29.65829121778067,57.1623243300854,59.53551352503749,119.2366555423158,Weight Lifting,"Weight lifting focusing on compound exercises (bench press, deadlift, squat) 4-5 times a week.",High-protein diet with a moderate calorie surplus. Include complex carbs.,2,0.0,3.0047560618647733,88.6885390666148,100.65945113558674,35.549005559951986,64.06505653623483,57.682186186071235,106.14060377682831
28,advanced,weight loss,female,107.77047453261432,34.01713365235218,58.475434935590435,60.5368457272325,123.6999740042562,Advanced HIIT,"Advanced HIIT 30-40 minutes, 5-6 times a week.",Balanced diet with a calorie deficit. Avoid processed foods and sugars.,1,10.800054376294144,0.0,74.11051925935422,78.55486875465184,19.105480379244113,40.34751678968896,36.21929531147052,87.64582595725264
41,intermediate,general fitness,female,92.44186622772276,26.93329534331342,56.365135552662416,58.43212382202943,125.964211706219,Swimming,"Swimming 45 minutes, 4-5 times a week.",Balanced diet with a focus on lean proteins and healthy fats.,2,3.283404241840066,0.0,81.53412259496628,89.36026436899644,21.055331177249418,49.24889784713815,43.47871935780854,86.21117075461602
53,intermediate,muscle gain,female,98.11628206616328,31.703062852446415,69.99036262830906,61.06958839841487,96.95485285684484,Weight Lifting,"Weight lifting focusing on compound exercises (bench press, deadlift, squat) 4-5 times a week.",High-protein diet with a moderate calorie surplus. Include complex carbs.,2,0.0,4.110231255181001,89.64953790365978,101.1889604889195,37.64403699187213,61.831615953430706,58.94394070345108,114.13059213883642
57,advanced,general fitness,female,85.27323430711115,35.13760888064406,61.60128907968779,47.44298415781202,117.80066967338213,Power Yoga,"Power Yoga 60 minutes, 3-4 times a week.",Balanced diet with emphasis on whole foods and hydration.,3,2.5066335762863106,1.725249359543931,75.96245184549142,83.33986341931056,15.203479275505329,43.78680738267985,36.05435017224111,84.8726126998449
41,advanced,muscle gain,male,109.27893352399218,39.654804286715844,51.84110642194925,61.73635332395679,128.52018708522357,Heavy Weight Lifting,"Heavy weight lifting focusing on progressive overload, 5-6 times a week.",High-protein diet with a high calorie surplus. Focus on nutrient-dense foods.,1,0.0,6.390467894062856,83.79539206536009,108.88083941194142,41.41296072147429,66.12160121514286,64.98123103687408,112.0755816878249
20,beginner,muscle gain,male,96.29338481284017,28.961542401172636,60.38214367403271,52.745581743189206,116.0244681652519,Bodyweight Exercises,"Bodyweight exercises (push-ups, squats, lunges) 3 sets of 10-15 reps, 3 times a week.",High-protein diet with a slight calorie surplus.,4,0.0,2.330961493452707,94.7637234570777,98.96555986979786,32.21631718713626,58.18790835556902,52.64548141521815,103.46655583117048
39,advanced,general fitness,male,105.00561203538517,29.36184256812932,50.9992392934368,55.5755335152796,104.03896574404436,Power Yoga,"Power Yoga 60 minutes, 3-4 times a week.",Balanced diet with emphasis on whole foods and hydration.,3,1.288844202116106,1.8033942306762776,75.45220843864534,81.09627381356441,17.97184586255328,41.67412169282741,35.677042787491125,87.9963712733059
19,beginner,general fitness,male,118.4854669770062,37.63155681042099,55.773040966259316,53.67558800989772,115.43785463202792,Walking,"Walking 30-45 minutes, 3-4 times a week at a brisk pace.",Balanced diet focusing on nutrient-dense foods.,3,1.9238488242346439,0.0,88.62636445738977,85.16485802053336,25.372515821385115,50.879238422638096,45.56919041944156,91.91706770961737
41,advanced,muscle gain,male,95.48133495316547,32.649155669086234,58.91922231952366,54.51434408816411,117.53704209283737,Heavy Weight Lifting,"Heavy weight lifting focusing on progressive overload, 5-6 times a week.",High-protein diet with a high calorie surplus. Focus on nutrient-dense foods.,1,0.0,6.372976136512301,80.23498536256093,100.3786561210705,40.158260512417776,68.48824562303766,62.680677361975945,113.70242411668887
61,advanced,muscle gain,female,119.65832594305614,34.64189734464696,60.68540973203824,50.70855370248947,105.88189199441578,Heavy Weight Lifting,"Heavy weight lifting focusing on progressive overload, 5-6 times a week.",High-protein diet with a high calorie surplus. Focus on nutrient-dense foods.,1,0.0,6.351215816219062,82.76802136124076,100.07334840576063,44.192748724810244,66.75092191595702,61.997806316144924,117.82289954960122
47,beginner,muscle gain,male,107.14549351026483,41.72269737557481,69.52362799456509,48.39901821599346,94.15963802191445,Bodyweight Exercises,"Bodyweight exercises (push-ups, squats, lunges) 3 sets of 10-15 reps, 3 times a week.",High-protein diet with a slight calorie surplus.,4,0.0,1.3741816314592055,90.05035927722278,99.08838344729905,32.52739127770936,56.747635650498566,54.095227898097704,100.26294913195231
55,advanced,weight loss,female,93.47310331999267,34.9816660212905,69.64443447608303,47.097894660865435,114.26639470080893,Advanced HIIT,"Advanced HIIT 30-40 minutes, 5-6 times a week.",Balanced diet with a calorie deficit. Avoid processed foods and sugars.,1,11.011454105693412,0.0,70.77644031237443,82.3783068425607,16.56043375341483,43.864533727697605,35.20738221968798,86.08115577800159
19,beginner,muscle gain,female,100.28722590574402,38.04998761218342,51.96138739812709,54.027976781361346,122.08563202066907,Bodyweight Exercises,"Bodyweight exercises (push-ups, squats, lunges) 3 sets of 10-15 reps, 3 times a week.",High-protein diet with a slight calorie surplus.,4,0.0,1.6364414487471164,90.93459967629153,98.1676499241776,32.061250617982836,57.85814798605055,50.16541921889771,107.9162451727843
38,advanced,weight loss,female,110.91585928342565,38.135500833199444,60.762653455257784,47.50521993103877,129.90305935024236,Advanced HIIT,"Advanced HIIT 30-40 minutes, 5-6 times a week.",Balanced diet with a calorie deficit. Avoid processed foods and sugars.,1,11.434412727693633,0.0,73.46703068885768,82.60474584786094,15.585581287364217,41.47950281987282,38.61720040994823,82.32177547444475
50,intermediate,muscle gain,male,100.62672676890784,41.07223885912036,66.34218790384227,49.89976945095881,98.92233227851769,Weight Lifting,"Weight lifting focusing on compound exercises (bench press, deadlift, squat) 4-5 times a week.",High-protein diet with a moderate calorie surplus. Include complex carbs.,2,0.0,4.6963479041090945,86.55986765441575,99.0233020756658,35.49871673614405,60.73837559304689,56.37710814120782,105.4890882824945
29,advanced,weight loss,female,87.39776485695434,37.762789769820486,54.754256405055095,47.6723177125233,118.0155589672694,Advanced HIIT,"Advanced HIIT 30-40 minutes, 5-6 times a week.",Balanced diet with a calorie deficit. Avoid processed foods and sugars.,1,10.965161398730823,0.0,72.04471513333067,78.7996224686725,15.993471899134958,40.402253419267254,36.59073917417029,87.45346607599318
39,beginner,muscle gain,female,90.90112814838898,26.29619651307725,65.01126197176943,47.182424631505796,91.12172800664294,Bodyweight Exercises,"Bodyweight exercises (push-ups, squats, lunges) 3 sets of 10-15 reps, 3 times a week.",High-protein diet with a slight calorie surplus.,4,0.0,2.020199144352441,94.73401987109963,91.39886327743709,31.036589723268584,56.401497668194985,50.065009499065205,109.4338047845688
61,advanced,muscle gain,male,112.69542110243809,31.8434596537368,67.57238111409958,62.64922295695503,128.79301118991245,Heavy Weight Lifting,"Heavy weight lifting focusing on progressive overload, 5-6 times a week.",High-protein diet with a high calorie surplus. Focus on nutrient-dense foods.,1,0.0,5.890727662885936,82.40824738615578,101.57857426498589,44.36348845053783,68.46316118321535,62.156804937619555,118.77971496646094
